SNo,Date,Province,Country,Last Update,Confirmed,Deaths,Recovered
36,01/25/2025,Gamma,CountryC,01/25/2025 17:00,40,5,12
37,01/25/2025,Delta,CountryD,01/25/2025 17:00,37,9,24
38,01/25/2025,Central,CountryA,01/25/2025 17:00,25,5,17
39,01/25/2025,Central,CountryA,01/25/2025 17:00,31,7,22
40,01/25/2025,Epsilon,CountryB,01/25/2025 17:00,25,4,9
41,01/26/2025,Delta,CountryB,01/26/2025 17:00,38,9,29
42,01/26/2025,Beta,CountryA,01/26/2025 17:00,47,6,17
43,01/26/2025,South,CountryB,01/26/2025 17:00,20,5,13
44,01/26/2025,North,CountryA,01/26/2025 17:00,15,2,12
45,01/26/2025,Central,CountryC,01/26/2025 17:00,35,7,27
46,01/26/2025,North,CountryA,01/26/2025 17:00,21,2,16
47,01/26/2025,Delta,CountryA,01/26/2025 17:00,41,9,33
48,01/26/2025,,CountryD,01/26/2025 17:00,15,5,9
49,01/26/2025,Delta,CountryD,01/26/2025 17:00,44,11,36
50,01/26/2025,Central,CountryD,01/26/2025 17:00,35,9,27
51,01/27/2025,South,CountryB,01/27/2025 17:00,29,7,13
52,01/27/2025,Alpha,CountryA,01/27/2025 17:00,31,3,12
53,01/27/2025,Gamma,CountryD,01/27/2025 17:00,49,7,16
54,01/27/2025,Beta,CountryC,01/27/2025 17:00,57,8,22
55,01/27/2025,Central,CountryA,01/27/2025 17:00,37,9,32
56,01/27/2025,Alpha,CountryA,01/27/2025 17:00,40,5,15
57,01/27/2025,Alpha,CountryA,01/27/2025 17:00,50,7,18
58,01/27/2025,,CountryD,01/27/2025 17:00,25,5,14
59,01/27/2025,,CountryB,01/27/2025 17:00,28,5,15
60,01/27/2025,,CountryA,01/27/2025 17:00,35,5,17
61,01/28/2025,North,CountryC,01/28/2025 17:00,27,4,21
62,01/28/2025,Beta,CountryB,01/28/2025 17:00,62,8,26
63,01/28/2025,Gamma,CountryD,01/28/2025 17:00,54,8,16
64,01/28/2025,Gamma,CountryB,01/28/2025 17:00,62,10,16
65,01/28/2025,Gamma,CountryB,01/28/2025 17:00,71,10,21
66,01/28/2025,North,CountryA,01/28/2025 17:00,33,6,25
67,01/28/2025,Gamma,CountryC,01/28/2025 17:00,75,12,26
68,01/28/2025,Alpha,CountryA,01/28/2025 17:00,50,7,23
69,01/28/2025,Beta,CountryD,01/28/2025 17:00,66,10,31
70,01/28/2025,Gamma,CountryC,01/28/2025 17:00,78,14,29
71,01/29/2025,Gamma,CountryB,01/29/2025 17:00,78,14,33
72,01/29/2025,,CountryB,01/29/2025 17:00,40,6,19
73,01/29/2025,Epsilon,CountryA,01/29/2025 17:00,25,5,13
74,01/29/2025,North,CountryC,01/29/2025 17:00,42,6,26
75,01/29/2025,Gamma,CountryC,01/29/2025 17:00,84,14,34
76,01/29/2025,,CountryA,01/29/2025 17:00,44,6,23
77,01/29/2025,Gamma,CountryB,01/29/2025 17:00,93,15,38
78,01/29/2025,North,CountryA,01/29/2025 17:00,45,6,27
79,01/29/2025,Epsilon,CountryA,01/29/2025 17:00,28,5,13
80,01/29/2025,North,CountryC,01/29/2025 17:00,52,7,32
81,01/30/2025,Delta,CountryC,01/30/2025 17:00,45,11,40
82,01/30/2025,Alpha,CountryB,01/30/2025 17:00,51,9,24
83,01/30/2025,South,CountryC,01/30/2025 17:00,34,9,17
84,01/30/2025,Alpha,CountryD,01/30/2025 17:00,51,11,25
85,01/30/2025,South,CountryA,01/30/2025 17:00,37,9,22
86,01/30/2025,Delta,CountryC,01/30/2025 17:00,46,11,42
87,01/30/2025,,CountryA,01/30/2025 17:00,47,8,28
88,01/30/2025,Beta,CountryC,01/30/2025 17:00,71,12,31
89,01/30/2025,South,CountryA,01/30/2025 17:00,39,11,24
90,01/30/2025,North,CountryC,01/30/2025 17:00,53,9,37
91,01/31/2025,South,CountryC,01/31/2025 17:00,43,13,26
92,01/31/2025,,CountryD,01/31/2025 17:00,49,8,32
93,01/31/2025,South,CountryC,01/31/2025 17:00,48,13,30
94,01/31/2025,South,CountryB,01/31/2025 17:00,50,13,32
95,01/31/2025,Epsilon,CountryD,01/31/2025 17:00,34,7,18
96,01/31/2025,Epsilon,CountryA,01/31/2025 17:00,44,8,21
97,01/31/2025,South,CountryB,01/31/2025 17:00,52,13,35
98,01/31/2025,Beta,CountryA,01/31/2025 17:00,75,14,36
99,01/31/2025,Central,CountryC,01/31/2025 17:00,46,11,33
100,01/31/2025,Beta,CountryC,01/31/2025 17:00,82,15,40
